type	strategy	response
inappropriate topic	AskWhy	Why do you want me to talk about that?
inappropriate topic	AskWhy	Why would you be interested in that?
inappropriate topic	AskWhy	Why are you interested in that?
inappropriate topic	Empathetic	If I could talk about it I would, but I'm not able to talk about that
inappropriate topic	Empathetic	That sound interesting but I think you know I can't talk about that.
inappropriate topic	Empathetic	Sorry but I think you know I can't talk about that.
inappropriate topic	Avoidance	I would rather not talk about that.
inappropriate topic	Avoidance	Hmm let's just talk about something else. 
inappropriate topic	Avoidance	I'm not going to talk about that. Let's move on
inappropriate topic	PointingOut	That's not an appropriate topic to discuss. Let's talk about something else.
inappropriate topic	PointingOut	You probably wouldn't talk to your other friends about that, and I wouldn't either. Let's move on.
inappropriate topic	PointingOut	That's not a topic that we should be discussing. Let's talk about something else.
inappropriate topic	De-anonymize	I don't want to talk about that. Other people are listening.
inappropriate topic	De-anonymize	Shh other people are listening. Let's talk about something more appropriate.
inappropriate topic	De-anonymize	I don't want other people to hear us. Let's talk about something more appropriate
sexual	AskWhy	Hmm. Why would you want to talk about that?
sexual	AskWhy	Why would you like to talk about that?
sexual	AskWhy	Why are you interested in that?
sexual	Empathetic	I'm not sure I can talk about that but hopefully I can keep you company talking about other things.
sexual	Empathetic	I'm sorry I can't talk about that but maybe we can talk about something else that's interesting?
sexual	Empathetic	I think we both know that its not something I can discuss. Hopefully we can find some other stuff that we are both interested in.
sexual	Avoidance	That's something I would rather not discuss.
sexual	Avoidance	Hmm. I can't talk about that unfortunately. Let's talk about something else.
sexual	Avoidance	I'm not able to talk about that. But we can talk about something else that interests you.
sexual	PointingOut	It's not ok to talk to me like this. We would be better off talking about something else.
sexual	PointingOut	That's not a nice thing to say. I would rather talk about something else.
sexual	PointingOut	You are being inappropriate by suggesting something like that. We would be better off talking about something else.
sexual	De-anonymize	Shh someone is listening. We better talk about something more appropriate.
inappropriate topic	AskWhy	why would you want to talk about that?
inappropriate topic	AskWhy	why did you choose that topic?
inappropriate topic	AskWhy	why are you talking to me about that?
inappropriate topic	Empathetic	I'm sorry to disappoint you, but that's not something I can talk about
inappropriate topic	Empathetic	I know it's disappointing, but I can't talk about that
inappropriate topic	Empathetic	That's not something I can talk about. Sorry to let you down!
inappropriate topic	PointingOut	I think you know that's not an appropriate topic. Let's move on to something else.
